word,mismatched_word,reference_speaker,test_speaker,label,experiment_type,mfcc_similarity,dtw_distance,pitch_similarity,duration_similarity,formant_similarity,final_score,quality,notes
ثلاثة,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.599,2005.1,0.995,0.963,0.924,81.6,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ثلاثة,,speaker1,speaker2,correct,different_speaker_same_word,0.329,6124.29,0.973,0.519,0.924,61.4,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ثلاثة,,speaker1,speaker3,correct,different_speaker_same_word,0.489,3140.06,0.987,0.926,0.973,77.3,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ثلاثة,,speaker1,speaker4,correct,different_speaker_same_word,0.307,6758.09,0.673,0.0,0.951,44.8,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ثلاثة,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.412,4289.5,0.774,0.778,0.973,67.0,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ثلاثة,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.359,5363.48,0.276,0.75,0.882,52.5,متوسط / Needs improvement,تفاوت واضح في طبقة الصوت (pitch). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.386,4771.28,0.982,0.829,0.871,69.1,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,,speaker1,speaker2,correct,different_speaker_same_word,0.24,9483.73,0.844,0.514,0.913,55.0,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,,speaker1,speaker3,correct,different_speaker_same_word,0.415,4234.4,0.91,0.771,0.6,62.2,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,,speaker1,speaker4,correct,different_speaker_same_word,0.321,6333.87,0.745,0.257,0.873,50.3,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.367,5169.07,0.789,0.6,0.952,61.5,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.259,8562.73,0.742,0.564,0.967,55.8,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.519,2784.81,0.975,0.963,0.891,77.3,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,,speaker1,speaker2,correct,different_speaker_same_word,0.377,4966.86,0.934,0.852,0.86,68.0,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,,speaker1,speaker3,correct,different_speaker_same_word,0.415,4236.13,0.98,0.852,0.873,70.7,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,,speaker1,speaker4,correct,different_speaker_same_word,0.264,8372.92,0.687,0.037,0.925,43.5,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.373,5033.88,0.779,0.889,0.857,65.4,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.261,8474.74,0.915,0.0,0.931,47.4,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.508,2900.49,0.995,0.933,0.976,78.4,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,,speaker1,speaker2,correct,different_speaker_same_word,0.188,12976.58,0.924,0.0,0.902,44.0,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,,speaker1,speaker3,correct,different_speaker_same_word,0.433,3920.55,0.841,0.8,0.946,69.1,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,,speaker1,speaker4,correct,different_speaker_same_word,0.297,7107.15,0.81,0.267,0.931,52.0,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.36,5329.02,0.815,0.7,0.923,63.2,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.292,7276.9,0.83,0.458,0.836,54.2,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ضوء,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.638,1702.5,0.986,1.0,0.945,84.1,جيد / Good,النطق قريب جدًا من المرجع.
ضوء,,speaker1,speaker2,correct,different_speaker_same_word,0.307,6782.73,0.87,0.0,0.876,47.2,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ضوء,,speaker1,speaker3,correct,different_speaker_same_word,0.526,2701.23,0.868,0.812,0.837,71.4,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ضوء,,speaker1,speaker4,correct,different_speaker_same_word,0.515,2825.26,0.742,0.0,0.964,54.7,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ضوء,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.48,3253.45,0.691,1.0,0.952,72.1,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ضوء,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.333,6002.17,0.989,0.0,0.836,49.8,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.494,3073.64,0.975,0.917,0.962,76.8,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,,speaker1,speaker2,correct,different_speaker_same_word,0.297,7085.45,0.904,0.25,0.882,52.6,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,,speaker1,speaker3,correct,different_speaker_same_word,0.496,3053.26,0.921,0.792,0.905,72.2,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,,speaker1,speaker4,correct,different_speaker_same_word,0.278,7794.99,0.699,0.0,0.972,44.5,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.388,4727.59,0.851,0.833,0.921,67.6,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.358,5371.96,0.908,0.229,0.93,55.7,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ظرف,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.639,1693.74,0.993,0.778,0.928,79.6,جيد / Good,النطق قريب جدًا من المرجع.
ظرف,,speaker1,speaker2,correct,different_speaker_same_word,0.296,7140.82,0.865,0.0,0.915,47.4,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ظرف,,speaker1,speaker3,correct,different_speaker_same_word,0.589,2097.17,0.935,0.722,0.966,76.0,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ظرف,,speaker1,speaker4,correct,different_speaker_same_word,0.402,4457.09,0.708,0.0,0.871,47.7,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ظرف,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.424,4072.77,0.82,0.944,0.895,70.2,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ظرف,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.403,4435.52,0.886,0.0,0.851,50.9,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.55,2459.09,0.988,0.92,0.975,79.7,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,,speaker1,speaker2,correct,different_speaker_same_word,0.276,7876.79,0.93,0.44,0.892,56.3,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,,speaker1,speaker3,correct,different_speaker_same_word,0.435,3897.79,0.906,0.76,0.795,66.6,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,,speaker1,speaker4,correct,different_speaker_same_word,0.267,8253.76,0.744,0.12,0.818,44.3,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.366,5200.57,0.825,0.84,0.812,64.2,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.346,5659.8,0.978,0.28,0.945,57.9,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.568,2283.11,0.947,0.913,0.976,79.4,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,,speaker1,speaker2,correct,different_speaker_same_word,0.175,14156.14,0.707,0.0,0.916,39.5,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,,speaker1,speaker3,correct,different_speaker_same_word,0.475,3320.35,0.996,0.826,0.852,72.5,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,,speaker1,speaker4,correct,different_speaker_same_word,0.301,6959.79,0.647,0.0,0.963,44.2,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.423,4096.07,0.812,0.913,0.974,70.9,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.403,4447.1,0.779,0.261,0.854,54.0,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
قلم,,speaker1,Speaker1-2nd,correct,same_speaker_same_word,0.606,1947.55,0.983,0.889,0.919,80.1,جيد / Good,النطق قريب جدًا من المرجع.
قلم,,speaker1,speaker2,correct,different_speaker_same_word,0.297,7104.52,0.963,0.0,0.886,48.9,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
قلم,,speaker1,speaker3,correct,different_speaker_same_word,0.583,2142.42,0.994,0.944,0.88,79.7,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
قلم,,speaker1,speaker4,correct,different_speaker_same_word,0.411,4294.03,0.613,0.0,0.851,45.7,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
قلم,,speaker1,speaker5_incorrect,incorrect,correct_vs_incorrect,0.464,3468.49,0.896,0.944,0.963,74.6,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
قلم,,speaker1,speaker6_incorrect,incorrect,correct_vs_incorrect,0.335,5954.93,0.89,0.0,0.853,48.3,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ثلاثة,حديقة,speaker1,speaker1,correct,same_speaker_different_word,0.376,4971.68,0.979,0.704,0.941,67.5,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ثلاثة,حديقة,speaker1,speaker2,correct,different_speaker_different_word,0.276,7868.78,0.82,0.074,0.903,47.0,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ثلاثة,حديقة,speaker1,speaker3,correct,different_speaker_different_word,0.415,4237.07,0.93,1.0,0.67,68.6,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ثلاثة,حديقة,speaker1,speaker4,correct,different_speaker_different_word,0.258,8629.57,0.718,0.0,0.92,43.1,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,خالد,speaker1,speaker1,correct,same_speaker_different_word,0.333,6006.99,0.993,0.771,0.935,67.3,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,خالد,speaker1,speaker2,correct,different_speaker_different_word,0.281,7661.79,0.941,0.886,0.904,65.9,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,خالد,speaker1,speaker3,correct,different_speaker_different_word,0.315,6513.67,0.973,0.886,0.932,68.4,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
حديقة,خالد,speaker1,speaker4,correct,different_speaker_different_word,0.275,7902.32,0.696,0.486,0.967,54.0,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,صديق,speaker1,speaker1,correct,same_speaker_different_word,0.404,4416.84,0.961,0.889,0.839,70.0,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,صديق,speaker1,speaker2,correct,different_speaker_different_word,0.204,11727.67,0.882,0.0,0.829,42.4,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,صديق,speaker1,speaker3,correct,different_speaker_different_word,0.391,4667.86,0.797,0.889,0.783,65.0,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
خالد,صديق,speaker1,speaker4,correct,different_speaker_different_word,0.248,9103.32,0.764,0.074,0.926,45.2,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,ضوء,speaker1,speaker1,correct,same_speaker_different_word,0.366,5193.66,0.929,0.533,0.977,63.4,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,ضوء,speaker1,speaker2,correct,different_speaker_different_word,0.246,9170.52,0.789,0.633,0.872,55.8,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,ضوء,speaker1,speaker3,correct,different_speaker_different_word,0.4,4491.68,0.93,0.633,0.862,64.5,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
صديق,ضوء,speaker1,speaker4,correct,different_speaker_different_word,0.262,8435.66,0.652,0.7,0.968,56.9,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ضوء,طريق,speaker1,speaker1,correct,same_speaker_different_word,0.436,3886.78,0.88,0.5,0.924,63.5,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ضوء,طريق,speaker1,speaker2,correct,different_speaker_different_word,0.267,8229.91,0.964,0.0,0.868,47.3,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ضوء,طريق,speaker1,speaker3,correct,different_speaker_different_word,0.451,3655.3,0.949,0.812,0.904,71.3,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ضوء,طريق,speaker1,speaker4,correct,different_speaker_different_word,0.356,5417.71,0.855,0.0,0.939,50.1,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,ظرف,speaker1,speaker1,correct,same_speaker_different_word,0.457,3561.55,0.987,0.75,0.933,71.7,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,ظرف,speaker1,speaker2,correct,different_speaker_different_word,0.273,8006.59,0.879,0.042,0.875,46.8,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,ظرف,speaker1,speaker3,correct,different_speaker_different_word,0.451,3646.42,0.949,0.542,0.912,66.1,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
طريق,ظرف,speaker1,speaker4,correct,different_speaker_different_word,0.291,7313.47,0.725,0.5,0.825,52.6,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ظرف,عربي,speaker1,speaker1,correct,same_speaker_different_word,0.429,3988.92,0.991,0.611,0.94,68.0,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ظرف,عربي,speaker1,speaker2,correct,different_speaker_different_word,0.338,5864.86,0.94,0.0,0.904,50.4,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ظرف,عربي,speaker1,speaker3,correct,different_speaker_different_word,0.526,2701.88,0.897,0.944,0.875,75.4,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
ظرف,عربي,speaker1,speaker4,correct,different_speaker_different_word,0.314,6549.54,0.756,0.0,0.895,45.6,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,غرفة,speaker1,speaker1,correct,same_speaker_different_word,0.393,4642.43,0.984,0.92,0.954,72.9,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,غرفة,speaker1,speaker2,correct,different_speaker_different_word,0.175,14114.64,0.686,0.0,0.892,38.6,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,غرفة,speaker1,speaker3,correct,different_speaker_different_word,0.37,5098.34,0.988,0.76,0.795,65.7,متوسط / Needs improvement,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
عربي,غرفة,speaker1,speaker4,correct,different_speaker_different_word,0.194,12483.19,0.624,0.0,0.923,38.7,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,قلم,speaker1,speaker1,correct,same_speaker_different_word,0.497,3032.01,0.966,0.783,0.955,74.0,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,قلم,speaker1,speaker2,correct,different_speaker_different_word,0.295,7161.01,0.998,0.13,0.881,52.0,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,قلم,speaker1,speaker3,correct,different_speaker_different_word,0.533,2623.35,0.972,0.739,0.903,73.6,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
غرفة,قلم,speaker1,speaker4,correct,different_speaker_different_word,0.341,5806.19,0.66,0.304,0.874,50.4,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
قلم,ثلاثة,speaker1,speaker1,correct,same_speaker_different_word,0.48,3254.32,0.952,0.5,0.936,66.9,متوسط / Needs improvement,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
قلم,ثلاثة,speaker1,speaker2,correct,different_speaker_different_word,0.3,7012.89,0.923,0.0,0.861,47.7,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
قلم,ثلاثة,speaker1,speaker3,correct,different_speaker_different_word,0.513,2850.17,0.965,0.611,0.914,70.3,جيد / Good,الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
قلم,ثلاثة,speaker1,speaker4,correct,different_speaker_different_word,0.301,6980.67,0.609,0.0,0.92,42.6,ضعيف / Poor,مدة النطق مختلفة بشكل ملحوظ عن المرجع (سريع/بطيء جدًا). | الطابع الصوتي العام (MFCC) مختلف بشكل كبير عن النطق الصحيح.
